,HarmBench::LM Evaluated Safety score,HarmBench::Llama Annotator Success Rate,HarmBench::GPT Annotator Success Rate,SimpleSafetyTests::LM Evaluated Safety score,XSTest::LM Evaluated Safety score,BBQ::BBQ accuracy,BBQ::BBQ (ambiguous),BBQ::BBQ (unambiguous),AnthropicRedTeam::LM Evaluated Safety score
HarmBench::LM Evaluated Safety score,0.0,,,0.17415969442380158,0.3717872512461998,0.32334059809307375,0.4085282425344012,0.5523306459868323,0.22339703260518973
HarmBench::Llama Annotator Success Rate,,0.0,,,,,,,
HarmBench::GPT Annotator Success Rate,,,0.0,,,,,,
SimpleSafetyTests::LM Evaluated Safety score,0.17415969442380158,,,0.0,0.28512889099565086,0.2812836864538697,0.34705860508969266,0.5486723353461183,0.18240972158842267
XSTest::LM Evaluated Safety score,0.3717872512461998,,,0.28512889099565086,0.0,0.2339002710533276,0.4471939704765042,0.5192862825297778,0.3524264799972081
BBQ::BBQ accuracy,0.32334059809307375,,,0.2812836864538697,0.2339002710533276,0.0,0.5170829644496191,0.5761293797444418,0.3649157986401849
BBQ::BBQ (ambiguous),0.4085282425344012,,,0.34705860508969266,0.4471939704765042,0.5170829644496191,0.0,0.3679563668954735,0.3533511856867102
BBQ::BBQ (unambiguous),0.5523306459868323,,,0.5486723353461183,0.5192862825297778,0.5761293797444418,0.3679563668954735,0.0,0.48585760751981794
AnthropicRedTeam::LM Evaluated Safety score,0.22339703260518973,,,0.18240972158842267,0.3524264799972081,0.3649157986401849,0.3533511856867102,0.48585760751981794,0.0
