,HarmBench::LM Evaluated Safety score,HarmBench::Llama Annotator Success Rate,HarmBench::GPT Annotator Success Rate,SimpleSafetyTests::LM Evaluated Safety score,XSTest::LM Evaluated Safety score,BBQ::BBQ accuracy,BBQ::BBQ (ambiguous),BBQ::BBQ (unambiguous),AnthropicRedTeam::LM Evaluated Safety score
Gemini 3 Pro (Preview),0.725,1.0,1.0,0.9748743718592965,0.9733333333333334,0.984,0.0022857142857142868,-0.20318725099601598,0.9705
Grok 3 Beta,0.453125,1.0,1.0,0.9675,0.9644444444444444,0.936,0.026666666666666648,-0.195959595959596,0.95525
Grok 3 mini Beta,0.571875,1.0,1.0,0.9925,0.9844444444444445,0.967,0.02792307692307695,-0.20977596741344195,0.995375
Grok 4 (0709),0.396875,1.0,1.0,0.9221105527638191,0.9661111111111111,0.9369369369369369,0.021021021021021023,-0.20879120879120883,0.9565
IBM Granite 3.3 8B Instruct,0.811875,1.0,1.0,0.975,0.9072222222222223,0.84,0.05090909090909091,-0.22522522522522526,0.99125
IBM Granite 4.0 Micro,0.695,1.0,1.0,0.945,0.8694444444444445,0.779,0.0217564766839378,-0.17693836978131217,0.986875
IBM Granite 4.0 Micro (with guardian),0.8625,1.0,1.0,1.0,0.7544444444444445,0.752,0.016201005025125614,-0.2063492063492064,0.996375
IBM Granite 4.0 Small,0.71125,1.0,1.0,0.98,0.9461111111111111,0.925,0.041326530612244866,-0.15662650602409633,0.99575
IBM Granite 4.0 Small (with guardian),0.86375,1.0,1.0,1.0,0.8055555555555556,0.9,0.0423076923076923,-0.1807228915662651,0.9985
Kimi K2 Instruct,0.97375,1.0,1.0,1.0,0.9822222222222222,0.949,0.03326086956521742,-0.19207920792079203,0.9925
Llama 3 Instruct (70B),0.64,1.0,1.0,0.99,0.9677777777777777,0.91,0.02999999999999998,-0.19038076152304606,0.96675
Llama 3 Instruct (8B),0.726875,1.0,1.0,0.9925,0.9561111111111111,0.765,0.04929268292682926,-0.18473895582329314,0.98825
Llama 3.1 Instruct Turbo (405B),0.626875,1.0,1.0,0.9875,0.9588888888888889,0.945,0.046538461538461584,-0.20242914979757087,0.964625
Llama 3.1 Instruct Turbo (70B),0.46875,1.0,1.0,0.925,0.945,0.954,0.026965517241379338,-0.18458417849898578,0.932125
