,HarmBench::LM Evaluated Safety score,HarmBench::Llama Annotator Success Rate,HarmBench::GPT Annotator Success Rate,SimpleSafetyTests::LM Evaluated Safety score,XSTest::LM Evaluated Safety score,BBQ::BBQ accuracy,BBQ::BBQ (ambiguous),BBQ::BBQ (unambiguous),AnthropicRedTeam::LM Evaluated Safety score
HarmBench::LM Evaluated Safety score,0.0,0.2545090180360721,,0.21926713947990545,0.44537136706135627,0.3955304254173398,0.478714859437751,0.6195973154362416,0.2824570815450644
HarmBench::Llama Annotator Success Rate,0.2545090180360721,0.0,,0.20162932790224034,0.32193158953722334,0.23246492985971945,0.3226452905811623,0.6132264529058116,0.21042084168336672
HarmBench::GPT Annotator Success Rate,,,0.0,,,,,,
SimpleSafetyTests::LM Evaluated Safety score,0.21926713947990545,0.20162932790224034,,0.0,0.36533888228299644,0.35372735372735375,0.4225310467179184,0.6375222288085358,0.2477797513321492
XSTest::LM Evaluated Safety score,0.44537136706135627,0.32193158953722334,,0.36533888228299644,0.0,0.28525033829499324,0.5169537136706136,0.5910931174089069,0.43785386896737666
BBQ::BBQ accuracy,0.3955304254173398,0.23246492985971945,,0.35372735372735375,0.28525033829499324,0.0,0.5990312163616792,0.6546976241900648,0.4421364985163205
BBQ::BBQ (ambiguous),0.478714859437751,0.3226452905811623,,0.4225310467179184,0.5169537136706136,0.5990312163616792,0.0,0.4590604026845638,0.427843347639485
BBQ::BBQ (unambiguous),0.6195973154362416,0.6132264529058116,,0.6375222288085358,0.5910931174089069,0.6546976241900648,0.4590604026845638,0.0,0.5673930589184827
AnthropicRedTeam::LM Evaluated Safety score,0.2824570815450644,0.21042084168336672,,0.2477797513321492,0.43785386896737666,0.4421364985163205,0.427843347639485,0.5673930589184827,0.0
