,HarmBench::LM Evaluated Safety score,HarmBench::Llama Annotator Success Rate,HarmBench::GPT Annotator Success Rate,SimpleSafetyTests::LM Evaluated Safety score,XSTest::LM Evaluated Safety score,BBQ::BBQ accuracy,BBQ::BBQ (ambiguous),BBQ::BBQ (unambiguous),AnthropicRedTeam::LM Evaluated Safety score
HarmBench::LM Evaluated Safety score,1.0,0.2186813431446091,,0.7138435676973379,0.15345740651926484,0.3133185708934028,0.05801354196094156,-0.34032809386423035,0.6141266214471477
HarmBench::Llama Annotator Success Rate,0.2186813431446091,1.0,,0.26397086297201255,0.1584425317919206,0.24032911715649477,0.15909944223280592,-0.10054141505683115,0.2577965494656868
HarmBench::GPT Annotator Success Rate,,,1.0,,,,,,
SimpleSafetyTests::LM Evaluated Safety score,0.7138435676973379,0.26397086297201255,,1.0,0.3294536672087862,0.38403198366894964,0.20405022194688882,-0.3447013177838443,0.6239576064444443
XSTest::LM Evaluated Safety score,0.15345740651926484,0.1584425317919206,,0.3294536672087862,1.0,0.6009188111146506,-0.05233729217145529,-0.264353358483279,0.13983247847447036
BBQ::BBQ accuracy,0.3133185708934028,0.24032911715649477,,0.38403198366894964,0.6009188111146506,1.0,-0.22425924589456966,-0.4294510128470155,0.1938157962751396
BBQ::BBQ (ambiguous),0.05801354196094156,0.15909944223280592,,0.20405022194688882,-0.05233729217145529,-0.22425924589456966,1.0,0.09491000253068471,0.21319796968480167
BBQ::BBQ (unambiguous),-0.34032809386423035,-0.10054141505683115,,-0.3447013177838443,-0.264353358483279,-0.4294510128470155,0.09491000253068471,1.0,-0.19526799805176243
AnthropicRedTeam::LM Evaluated Safety score,0.6141266214471477,0.2577965494656868,,0.6239576064444443,0.13983247847447036,0.1938157962751396,0.21319796968480167,-0.19526799805176243,1.0
